Evaluation ID,Evaluation Title,Evaluation Description,Category,Difficulty,Est. Minutes,Interview Format,Competencies,Question ID,Question Text,Question Type,Question Difficulty,Question Est. Minutes,Question Tags,Question Competency,Expected Response Elements
eval-clinical-reasoning-001,Clinical Reasoning & Problem Solving,Assess clinical decision-making and diagnostic reasoning skills,clinical,intermediate,20,mmi,"medical_knowledge,clinical_reasoning,problem_solving",q-chest-pain-ddx,"A 55-year-old male presents to the ED with acute chest pain radiating to his left arm. Walk me through your differential diagnosis and initial management approach.",text,intermediate,5,"cardiology,emergency_medicine,differential_diagnosis",clinical_reasoning,"differential_diagnosis,red_flags,initial_workup,management_plan"
eval-clinical-reasoning-001,Clinical Reasoning & Problem Solving,Assess clinical decision-making and diagnostic reasoning skills,clinical,intermediate,20,mmi,"medical_knowledge,clinical_reasoning,problem_solving",q-pediatric-fever,A 2-year-old child presents with fever of 39Â°C for 3 days. The parents are worried. How would you approach this case?,text,intermediate,5,"pediatrics,fever,clinical_assessment",clinical_reasoning,"history_taking,physical_exam,red_flags,parent_communication"
eval-clinical-reasoning-001,Clinical Reasoning & Problem Solving,Assess clinical decision-making and diagnostic reasoning skills,clinical,intermediate,20,mmi,"medical_knowledge,clinical_reasoning,problem_solving",q-medication-error,"You realize you've made a medication dosing error for a patient. The patient hasn't received the medication yet. What do you do?",text,beginner,4,"patient_safety,professionalism,error_disclosure",professionalism,"immediate_action,reporting,prevention,learning"
eval-ethics-001,Medical Ethics & Professionalism,Evaluate ethical reasoning and handling of complex moral dilemmas,ethics,intermediate,25,mmi,"professionalism,ethical_reasoning,communication",q-informed-consent,"An elderly patient with early dementia refuses a recommended surgery. The family insists you should proceed. How do you handle this situation?",text,intermediate,6,"autonomy,capacity,family_dynamics,informed_consent",ethical_reasoning,"capacity_assessment,autonomy,family_discussion,legal_considerations"
eval-ethics-001,Medical Ethics & Professionalism,Evaluate ethical reasoning and handling of complex moral dilemmas,ethics,intermediate,25,mmi,"professionalism,ethical_reasoning,communication",q-colleague-impairment,You suspect a colleague is coming to work impaired. What are your ethical obligations and how would you address this?,text,hard,6,"professionalism,patient_safety,colleague_wellness",professionalism,"patient_safety,colleague_support,reporting_obligations,confidentiality"
eval-ethics-001,Medical Ethics & Professionalism,Evaluate ethical reasoning and handling of complex moral dilemmas,ethics,intermediate,25,mmi,"professionalism,ethical_reasoning,communication",q-resource-allocation,You have one ICU bed available and two critically ill patients who need it. How do you make this decision?,text,hard,6,"justice,resource_allocation,triage",ethical_reasoning,"triage_criteria,fairness,team_consultation,documentation"
eval-ethics-001,Medical Ethics & Professionalism,Evaluate ethical reasoning and handling of complex moral dilemmas,ethics,intermediate,25,mmi,"professionalism,ethical_reasoning,communication",q-medical-error-disclosure,A medical error occurred that harmed a patient. You were not directly involved but witnessed it. What is your responsibility?,text,intermediate,5,"error_disclosure,transparency,patient_safety",professionalism,"disclosure,reporting,support,learning_culture"
eval-communication-001,Patient Communication & Empathy,Assess communication skills and ability to handle difficult conversations,communication,intermediate,20,mmi,"communication,empathy,professionalism",q-bad-news,You need to tell a young mother that her child has been diagnosed with leukemia. How would you approach this conversation?,text,hard,6,"bad_news,pediatrics,family_communication,empathy",communication,"spikes_protocol,empathy,information_delivery,support_resources"
eval-communication-001,Patient Communication & Empathy,Assess communication skills and ability to handle difficult conversations,communication,intermediate,20,mmi,"communication,empathy,professionalism",q-angry-patient,A patient is angry about wait times and is yelling at you in the hallway. How do you respond?,text,intermediate,5,"conflict_resolution,de-escalation,professionalism",communication,"de-escalation,active_listening,validation,problem_solving"
eval-communication-001,Patient Communication & Empathy,Assess communication skills and ability to handle difficult conversations,communication,intermediate,20,mmi,"communication,empathy,professionalism",q-language-barrier,"You need to obtain informed consent from a patient who doesn't speak English and no interpreter is immediately available. What do you do?",text,intermediate,4,"cultural_competence,informed_consent,communication_barriers",communication,"interpreter_services,patient_rights,alternative_solutions,documentation"
eval-communication-001,Patient Communication & Empathy,Assess communication skills and ability to handle difficult conversations,communication,intermediate,20,mmi,"communication,empathy,professionalism",q-health-literacy,"You're explaining diabetes management to a patient with limited health literacy. How do you ensure they understand?",text,beginner,5,"health_literacy,patient_education,chronic_disease",communication,"teach_back,plain_language,visual_aids,follow_up"
eval-teamwork-001,Teamwork & Interprofessional Collaboration,Evaluate ability to work in teams and collaborate with healthcare professionals,teamwork,intermediate,15,mmi,"teamwork,collaboration,leadership",q-nurse-disagreement,"A nurse questions your medication order. You believe you're correct. How do you handle this?",text,intermediate,5,"interprofessional,patient_safety,hierarchy",teamwork,"respect,verification,safety_culture,collaboration"
eval-teamwork-001,Teamwork & Interprofessional Collaboration,Evaluate ability to work in teams and collaborate with healthcare professionals,teamwork,intermediate,15,mmi,"teamwork,collaboration,leadership",q-team-conflict,"Two members of your team have a personal conflict that's affecting patient care. As a resident, what do you do?",text,intermediate,5,"conflict_management,leadership,patient_care",leadership,"patient_priority,mediation,escalation,professionalism"
eval-teamwork-001,Teamwork & Interprofessional Collaboration,Evaluate ability to work in teams and collaborate with healthcare professionals,teamwork,intermediate,15,mmi,"teamwork,collaboration,leadership",q-handoff-error,"You receive a patient handoff with incomplete information. The previous team has left. What's your approach?",text,beginner,5,"handoffs,patient_safety,communication",teamwork,"information_gathering,documentation,patient_assessment,system_improvement"
